> em_iters=15 logZ=-9.47279
> child='TCGA-CV-7100_inp_focal.tsv' edge1='-obs>'
0	0	0.185766
1	0	0.628467
2	0	0.185766
0	1	0.18839
1	1	0.62322
2	1	0.18839
0	2	0.188368
1	2	0.623264
2	2	0.188368
> child='TCGA-CV-7100_inp_log10fpkmP1.tsv' edge1='-obs>'
0	0	0.176274
1	0	0.490883
2	0	0.332842
0	1	0.199786
1	1	0.376292
2	1	0.423922
0	2	0.187911
1	2	0.438163
2	2	0.373926
