> em_iters=29 logZ=-9.48171
> child='TCGA-CV-7100_inp_focal.tsv' edge1='-obs>'
0	0	0.186049
1	0	0.627902
2	0	0.186049
0	1	0.188464
1	1	0.623072
2	1	0.188464
0	2	0.188005
1	2	0.62399
2	2	0.188005
> child='TCGA-CV-7100_inp_log10fpkmP1.tsv' edge1='-obs>'
0	0	0.177387
1	0	0.482656
2	0	0.339956
0	1	0.199484
1	1	0.379555
2	1	0.42096
0	2	0.186927
1	2	0.444212
2	2	0.368861
