> em_iters=6 logZ=-9.45053
> child='TCGA-CV-7100_inp_focal.tsv' edge1='-obs>'
0	0	0.189406
1	0	0.621187
2	0	0.189406
0	1	0.183885
1	1	0.63223
2	1	0.183885
0	2	0.189316
1	2	0.621367
2	2	0.189316
> child='TCGA-CV-7100_inp_log10fpkmP1.tsv' edge1='-obs>'
0	0	0.180321
1	0	0.39492
2	0	0.424759
0	1	0.194561
1	1	0.497881
2	1	0.307558
0	2	0.188163
1	2	0.423536
2	2	0.388301
